Crop,Crop_Year,Area,Production
Dry ginger,2014,56513.0,1048689.9
Garlic,1997,28730.0,146910.0
Garlic,1998,49016.0,262203.0
Garlic,1999,106884.0,440495.0
Garlic,2000,51837.0,155232.0
Garlic,2001,61580.0,230515.0
Garlic,2002,76085.0,258432.0
Garlic,2003,103204.0,508230.0
Garlic,2004,142715.0,622352.0
Garlic,2005,93109.0,461115.0
Garlic,2006,136113.0,655956.0
Garlic,2007,153963.0,806270.7
Garlic,2008,156330.0,757611.0
Garlic,2009,134949.0,626318.0
Garlic,2010,124884.0,555389.0
Garlic,2011,159693.0,789084.0
Garlic,2012,126239.0,647729.0
Garlic,2013,127342.0,658224.1
Garlic,2014,41016.0,206708.0
Ginger,2010,4554.0,38669.0
Ginger,2011,21395.0,170999.0
Ginger,2012,22461.0,187444.0
Ginger,2013,22968.0,185586.7
Ginger,2014,26991.0,239227.0
Gram,1997,4585523.0,3540892.0
Gram,1998,8235819.0,6720194.0
Gram,1999,6029056.0,4979295.5
Gram,2000,5186116.0,3857590.0
Gram,2001,6405943.0,5467635.0
Gram,2002,5892949.47,4227669.42
Gram,2003,7067229.21,5738794.98
Gram,2004,6636121.220000001,5376640.0
Gram,2005,6819569.26,5571145.67
Gram,2006,7625707.57,6392945.0
Gram,2007,6348748.220000001,4773122.0
Gram,2008,7818443.0,6998378.2
Gram,2009,7274008.0,6876010.0
Gram,2010,8862826.0,7674255.16
Gram,2011,6335184.0,5999415.0
Gram,2012,6544957.0,6702250.0
Gram,2013,6811890.0,5682559.4
Gram,2014,3727871.0,2835444.0
Grapes,2002,14427.0,366079.0
Grapes,2003,51583.0,1363200.0
Grapes,2012,270.0,8188.0
Grapes,2013,276.0,6170.0
Grapes,2014,347.0,7956.0
Groundnut,1997,6480853.0,6749962.0
Groundnut,1998,7606552.0,9361175.0
Groundnut,1999,7068133.0,5684617.1
Groundnut,2000,6677439.0,6496004.800000001
Groundnut,2001,6229875.0,7016074.400000002
Groundnut,2002,5927555.0,4113401.7
Groundnut,2003,5967650.0,8108946.4
Groundnut,2004,6612902.0,6605247.0
Groundnut,2005,6634687.0,7826232.399999999
Groundnut,2006,5696732.0,5230123.200000001
Groundnut,2007,5880765.0,8667517.6
Groundnut,2008,6085076.0,6378706.599999998
Groundnut,2009,5432693.0,5310310.100000001
Groundnut,2010,5861460.25,8190107.899999998
Groundnut,2011,4877280.0,6205979.300000001
Groundnut,2012,4171486.0,3799964.4000000004
Groundnut,2013,3196574.0,3897524.8
Groundnut,2014,2276461.0,2046822.3000000003
Groundnut,2015,51206.0,56161.200000000004
Guar seed,1999,2980809.0,3745830.0
Guar seed,2000,3331472.0,541119.0
Guar seed,2001,2674148.0,934766.0
Guar seed,2002,766829.0,106252.0
Guar seed,2003,2582839.0,230900.0
Guar seed,2004,2188309.0,516935.0
Guar seed,2005,2658975.0,721007.0
Guar seed,2006,3032507.0,759123.0
Guar seed,2007,3108183.0,1375502.0
Guar seed,2008,3471323.0,1316055.0
Guar seed,2009,2722314.0,248113.0
Guar seed,2010,3126187.0,1632377.0
Guar seed,2011,181652.0,119424.0
Guar seed,2012,639853.0,448864.0
Guar seed,2013,39507.0,32381.0
Guar seed,2014,30250.0,22877.0
Horse-gram,1997,657910.0,285294.0
Horse-gram,1998,663336.0,277597.0
Horse-gram,1999,899385.0,359263.0
Horse-gram,2000,693829.0,295944.29999999993
Horse-gram,2001,602970.0,255656.10000000006
Horse-gram,2002,661129.0,204698.60000000006
Horse-gram,2003,627934.0,207062.50000000006
Horse-gram,2004,607586.0,231719.40000000005
Horse-gram,2005,573950.0,236505.5
Horse-gram,2006,612514.0,220711.99999999997
Horse-gram,2007,488831.0,212689.4999999999
Horse-gram,2008,449099.0,174640.80000000002
Horse-gram,2009,494902.0,230010.4
Horse-gram,2010,470891.0,232851.79999999993
Horse-gram,2011,412474.0,190875.30000000002
Horse-gram,2012,424369.0,177191.99999999994
Horse-gram,2013,406061.0,210084.2
Horse-gram,2014,324499.0,150374.30000000002
Horse-gram,2015,33362.0,9442.7
Jack Fruit,2002,95745.0,32983.0
Jack Fruit,2003,95873.0,27791.0
Jack Fruit,2012,89702.0,0.0
Jobster,2013,1170.0,1180.0
Jowar,1997,10699683.0,7675581.0
Jowar,1998,9881864.0,8595777.0
Jowar,1999,10333665.0,8793192.2
Jowar,2000,9989594.0,7704765.2
Jowar,2001,9767126.0,7535494.0
Jowar,2002,9274286.0,6997729.0
Jowar,2003,9299671.0,6646221.0
Jowar,2004,8995096.0,7055559.0
Jowar,2005,3905712.0,3502688.7
Jowar,2006,8430341.0,6960926.0
Jowar,2007,3643847.0,3792098.0
Jowar,2008,7273391.0,6600143.0
Jowar,2009,7787823.0,6567114.0
Jowar,2010,7110272.0,6602545.0
Jowar,2011,5574474.0,5316754.0
Jowar,2012,5340605.0,4818909.0
Jowar,2013,5681984.0,5553532.0
Jowar,2014,4726479.0,3879231.0
Jute,1997,979700.0,9937985.0
Jute,1998,882672.0,8881874.0
Jute,1999,854538.0,9470088.0
Jute,2000,836253.0,9323541.0
Jute,2001,871600.0,10527107.0
Jute,2002,862961.0,10262222.0
Jute,2003,847669.0,10244196.0
Jute,2004,771105.0,9384546.0
Jute,2005,756270.0,9973409.0
Jute,2006,802194.0,10433130.0
Jute,2007,813994.0,10207097.0
Jute,2008,785628.0,9637506.0
Jute,2009,813555.0,11256439.0
Jute,2010,769518.0,10007968.0
Jute,2011,806039.0,10734936.0
