districtid,timeid,neighborhoodzscore,statezscore
637,1,-0.37,-0.19
638,1,3.97,0.41
639,1,1.29,0.55
640,1,-0.46,-0.53
641,1,-1.13,-0.46
642,1,0.25,-0.26
643,1,-0.95,-0.32
644,1,-0.64,-0.67
645,1,-0.47,0.01
646,1,-0.44,0.07
647,1,17.44,5.36
648,1,0.12,0.82
650,1,0.34,-0.08
651,1,-1.21,-0.45
652,1,-0.43,0.26
653,1,-0.74,-0.80
654,1,-0.39,-0.21
655,1,-0.23,0.15
656,1,-0.45,0.04
657,1,0.79,-0.01
658,1,2.88,0.22
659,1,-1.37,-0.83
660,1,-0.48,-0.67
661,1,0.46,0.62
662,1,0.63,-0.11
663,1,-1.08,-0.34
664,1,1.03,-0.06
665,1,0.91,0.28
666,1,0.51,-0.07
667,1,-1.84,-0.49
668,1,0.00,-0.47
669,1,3.35,0.02
670,1,-0.43,-0.08
671,1,-0.67,-0.62
672,1,0.75,-0.17
673,1,-0.91,-0.42
674,1,-0.49,-0.07
675,1,0.50,-0.16
676,1,-0.24,-0.16
677,1,-0.48,-0.33
678,1,-0.81,-0.28
679,1,-0.29,0.22
680,1,-0.47,-0.15
681,1,0.11,-0.30
682,1,-0.44,-0.68
683,1,-0.35,-0.23
684,1,-0.36,-0.36
685,1,-0.47,-0.43
686,1,-0.73,-0.55
687,1,1.55,-0.26
688,1,-0.83,-0.75
689,1,0.31,0.06
690,1,-0.71,-0.35
691,1,-1.31,-0.52
692,1,-0.58,-0.61
693,1,-2.19,-0.91
694,1,-0.63,-0.32
695,1,-1.20,-0.58
696,1,-0.57,-0.45
697,1,1.37,0.02
698,1,-0.35,-0.08
699,1,-2.03,-0.17
700,1,-1.51,-0.64
701,1,-0.92,-0.51
702,1,-0.39,-0.25
703,1,-0.32,-0.18
704,1,-1.72,-0.41
705,1,-0.22,0.03
706,1,-0.41,-0.42
707,1,-0.66,-0.52
708,1,-0.73,-0.38
709,1,-0.18,0.07
710,1,-1.13,1.06
711,1,-0.48,-0.43
712,1,0.47,-0.49
713,1,-0.51,-0.29
714,1,-0.49,-0.25
715,1,-1.24,-0.35
716,1,-0.51,-0.37
717,1,-1.25,-0.22
718,1,0.08,3.55
719,1,-0.25,-0.05
720,1,0.07,-0.39
721,1,1.73,0.47
722,1,0.70,-0.04
723,1,-0.75,0.43
724,1,-0.63,-0.45
725,1,1.15,0.00
726,1,-0.74,-0.46
727,1,-7.14,-0.63
728,1,-0.84,-0.48
729,1,-0.62,-0.50
730,1,-0.52,-0.61
731,1,1.47,-0.88
732,1,15.67,6.97
733,1,-0.99,-0.67
734,1,-0.44,-0.33
735,1,-0.30,-0.29
736,1,3.41,0.18
737,1,-0.83,-0.33
738,1,-0.60,-0.37
739,1,30.76,3.54
740,1,-0.43,-0.27
741,1,-0.08,-0.23
742,1,-0.52,-0.17
743,1,-0.36,-0.37
745,1,-1.06,-0.70
746,1,-0.85,-0.01
747,1,-0.18,-0.23
749,1,1.04,2.97
750,1,0.22,-0.21
751,1,0.66,0.05
752,1,-0.45,0.64
753,1,2.98,4.94
754,1,0.09,-0.36
755,1,0.54,-0.01
756,1,-0.00,0.63
757,1,-0.84,-0.12
758,1,-0.66,-0.36
759,1,0.96,0.15
760,1,-0.79,-0.03
761,1,0.42,-0.18
762,1,0.21,-0.08
764,1,-0.47,-0.39
765,1,0.54,-0.03
766,1,-0.60,-0.62
767,1,-0.30,-0.56
768,1,-0.09,-0.11
771,1,0.99,-0.05
772,1,-0.62,-0.33
773,1,0.36,1.46
774,1,-0.24,-0.53
776,1,-0.20,0.21
777,1,0.75,-0.29
778,1,-0.61,-0.49
779,1,-0.71,-0.01
781,1,-0.64,-0.26
782,1,-4.31,-0.77
783,1,-102.11,-0.63
784,1,-0.14,-0.42
785,1,0.65,-0.17
786,1,-0.27,-0.27
787,1,-0.91,-0.51
789,1,-0.12,-0.42
790,1,14.78,0.94
791,1,-0.64,-0.08
792,1,-0.63,-0.30
793,1,6.22,1.36
794,1,-0.57,-0.02
795,1,-0.37,-0.14
797,1,-0.94,-0.38
798,1,-1.11,-0.17
799,1,0.91,0.05
800,1,0.55,0.25
801,1,0.24,-1.25
802,1,-0.45,-0.31
803,1,-0.31,-0.30
804,1,1.61,0.13
805,1,-0.69,-0.53
806,1,-1.31,-0.51
807,1,-0.74,-1.05
808,1,0.01,-0.01
809,1,1.09,0.30
810,1,0.65,0.38
811,1,-0.60,-0.44
812,1,-0.33,0.56
813,1,-0.68,-0.46
814,1,-0.54,-0.39
815,1,2.92,0.11
816,1,-0.41,-0.11
817,1,6.63,9.80
818,1,-0.87,-0.63
819,1,-1.16,-0.57
820,1,-0.99,-0.33
821,1,0.08,-0.16
822,1,-0.74,-0.39
824,1,0.17,-0.47
825,1,-0.25,-0.49
826,1,-1.25,-0.47
827,1,-0.70,-0.46
