Ballari(147),Davanagere(259)
Ballari(147),Anantapur(123)
Ballari(147),Chitradurga(235)
Ballia(148),Mau(527)
Ballia(148),Ghazipur(322)
Ballia(148),Deoria(263)
Ballia(148),Buxar(211)
Ballia(148),Bhojpur(190)
Ballia(148),Siwan(717)
Ballia(148),Saran(679)
Balod(149),Uttar Bastar Kanker(786)
Balod(149),Dhamtari(267)
Balod(149),Durg(286)
Balod(149),Rajnandgaon(639)
Baloda Bazar(150),Raipur(634)
Baloda Bazar(150),Mungeli(543)
Baloda Bazar(150),Bametara(153)
Baloda Bazar(150),Raigarh(632)
Baloda Bazar(150),Bilaspur(197)
Baloda Bazar(150),Mahasamund(509)
Baloda Bazar(150),Janjgir Champa(383)
Balrampur(151),Gonda(329)
Balrampur(151),Shrawasti(700)
Balrampur(151),Siddharthnagar(702)
Balrampur(152),Gumla(333)
Balrampur(152),Sonbhadra(720)
Balrampur(152),Surajpur(738)
Balrampur(152),Jashpur(384)
Balrampur(152),Garhwa(316)
Balrampur(152),Singrauli(708)
Balrampur(152),Latehar(488)
Balrampur(152),Surguja(741)
Bametara(153),Mungeli(543)
Bametara(153),Kabeerdham(404)
Bametara(153),Baloda Bazar(150)
Bametara(153),Durg(286)
Bametara(153),Rajnandgaon(639)
Bametara(153),Raipur(634)
Banaskantha(154),Patan(600)
Banaskantha(154),Sabarkantha(663)
Banaskantha(154),Sirohi(711)
Banaskantha(154),Mehsana(532)
Banaskantha(154),Kutch(482)
Banaskantha(154),Jalore(376)
Banda(155),Mahoba(513)
Banda(155),Hamirpur(343)
Banda(155),Chhatarpur(229)
Banda(155),Satna(681)
Banda(155),Panna(595)
Banda(155),Chitrakoot(236)
Banda(155),Fatehpur(305)
Bandipora(156),Kupwara(478)
Bandipora(156),Kargil(430)
Bandipora(156),Baramulla(161)
Bandipora(156),Ganderbal(312)
Bandipora(156),Srinagar(732)
Banka(157),Munger(544)
Banka(157),Deoghar(262)
Banka(157),Dumka(284)
Banka(157),Bhagalpur(182)
Banka(157),Jamui(381)
Banka(157),Godda(326)
Bankura(158),Jhargram(392)
