districtid,timeid,neighbormean,neighborstdev
561,1,1347.33,1758.19
562,1,3514.33,2688.71
563,1,2025.83,3528.79
564,1,4758.86,4429.41
565,1,642.20,201.82
566,1,6005.83,8477.38
567,1,1269.71,1556.76
568,1,26393.78,44704.21
569,1,13467.40,19571.34
570,1,2867.83,1518.33
571,1,8917.67,8946.37
572,1,1173.50,755.08
573,1,6935.83,6378.51
574,1,3142.00,3055.08
575,1,2276.67,2226.71
576,1,3274.80,3201.87
577,1,238.50,140.42
578,1,16258.00,15060.44
579,1,980.33,1784.90
580,1,1990.50,1531.23
581,1,873.50,614.68
582,1,1568.00,1012.54
583,1,5511.83,4317.88
584,1,13152.33,8242.92
585,1,1025.20,938.05
587,1,8926.50,7203.84
588,1,2341.00,1842.28
589,1,46849.25,65960.99
590,1,3632.12,3974.56
591,1,7292.83,5370.38
592,1,3404.40,1955.09
593,1,2413.80,3571.49
594,1,2343.60,1883.50
595,1,732.60,199.28
596,1,367.00,542.91
597,1,5240.29,3091.66
598,1,2323.67,1090.55
599,1,6161.83,4793.37
600,1,1405.25,214.32
601,1,5588.80,3036.94
602,1,1327.25,987.81
603,1,2407.29,1486.13
604,1,3501.56,1376.64
605,1,2335.38,2057.87
606,1,2711.25,1955.32
607,1,8805.40,4348.06
608,1,751.17,668.14
609,1,345.00,367.11
610,1,1229.83,2403.23
611,1,4487.50,1956.85
612,1,460.25,192.34
614,1,31112.80,17686.61
615,1,1257.14,602.19
616,1,3303.86,3645.94
617,1,1664.00,1111.49
618,1,10966.50,3821.91
619,1,6118.25,1824.57
620,1,4255.00,3845.88
621,1,1839.80,1111.54
622,1,47789.40,52439.78
623,1,4346.17,2102.49
624,1,8978.25,4852.07
625,1,12855.75,8438.90
626,1,3277.67,1911.67
627,1,3957.11,3360.62
629,1,6291.29,11161.58
630,1,10995.88,16828.14
631,1,89521.75,93102.59
632,1,1704.11,1373.63
634,1,1312.33,1562.96
635,1,2607.17,4333.56
636,1,3321.80,1343.57
637,1,2521.83,4403.79
638,1,1352.00,1047.17
639,1,1294.00,1396.81
640,1,1951.25,2093.47
641,1,2917.00,1471.23
642,1,2960.83,2893.57
643,1,8916.00,4215.12
644,1,1279.60,922.02
645,1,4087.00,4249.81
646,1,4766.50,2314.09
647,1,1314.33,524.06
648,1,9340.88,17895.31
650,1,979.62,595.78
651,1,19262.20,11929.43
652,1,10224.00,11723.13
653,1,1671.33,1663.96
654,1,2528.00,4321.77
655,1,5097.00,5335.13
656,1,5675.00,11932.93
657,1,1992.50,1684.98
658,1,1979.00,896.67
659,1,896.75,428.84
660,1,2827.62,3809.51
661,1,3388.29,2335.62
662,1,31578.50,6952.85
663,1,1661.33,822.43
664,1,802.57,420.85
665,1,3020.71,1782.25
666,1,3074.50,1063.34
667,1,4137.00,1744.93
668,1,31.00,0.00
669,1,3780.14,2617.01
670,1,6627.57,7080.41
671,1,2306.67,2246.08
672,1,1962.50,1674.58
673,1,3372.00,1859.64
674,1,5934.00,4830.64
675,1,12229.67,10750.08
676,1,3422.14,4287.83
677,1,4133.50,4345.03
678,1,4647.67,3991.43
679,1,6627.86,7012.76
680,1,54644.80,78899.53
681,1,588.38,313.86
682,1,1576.50,2242.05
683,1,2210.86,4071.19
684,1,420.83,420.73
685,1,7107.83,14375.85
686,1,254.33,326.90
687,1,425.40,187.57
688,1,4729.60,4733.45
689,1,3077.00,2096.93
690,1,927.20,613.05
691,1,3255.40,1525.99
692,1,2659.25,1420.89
693,1,4921.67,1859.17
694,1,1911.50,2157.73
695,1,130.25,93.22
696,1,1384.29,1737.12
697,1,3188.20,4855.12
698,1,1941.33,2129.87
699,1,2522.25,385.00
700,1,2053.00,861.85
701,1,157.20,125.12
702,1,3732.67,3422.86
703,1,3386.62,2475.87
704,1,630.20,171.00
705,1,3833.80,4828.96
706,1,1815.80,1737.21
707,1,8885.00,10953.52
708,1,876.00,634.40
709,1,2270.75,1991.57
710,1,3030.14,1768.47
711,1,2034.00,1386.61
712,1,1272.40,932.54
713,1,4051.40,2316.71
714,1,8670.20,12781.69
715,1,9473.00,4238.04
716,1,2055.17,3019.95
717,1,4017.25,719.21
718,1,1519.71,1577.55
719,1,39191.71,68930.77
720,1,1697.43,1419.31
721,1,2191.20,1605.33
722,1,1253.29,1560.89
723,1,25121.50,17233.77
724,1,146.25,188.34
725,1,1333.00,1885.15
726,1,568.00,700.71
727,1,1831.00,117.38
728,1,236.50,262.34
729,1,659.33,1066.77
730,1,1593.33,824.98
731,1,12507.50,9962.32
732,1,2515.17,476.59
733,1,2031.80,1086.08
734,1,12087.50,26279.97
735,1,2629.00,1284.84
736,1,1594.89,945.06
737,1,3639.25,1108.86
738,1,641.40,279.74
739,1,831.50,689.47
740,1,6240.43,11631.70
741,1,958.20,835.12
742,1,10000.00,14251.16
743,1,1071.43,2225.04
745,1,2712.00,1691.26
746,1,315.00,124.45
747,1,1808.75,2239.47
749,1,64884.20,72883.09
750,1,6429.50,4060.28
751,1,9213.25,5883.37
752,1,49583.20,52398.80
753,1,8408.67,3010.39
754,1,3821.33,3212.04
755,1,9435.33,4177.00
756,1,694.25,644.10
757,1,10172.75,5908.24
758,1,1815.00,2048.89
759,1,1112.25,2353.03
760,1,2714.50,3164.79
761,1,6120.90,4520.19
762,1,9000.14,5627.31
764,1,6588.60,6956.98
765,1,8097.17,6166.75
766,1,3525.33,4613.69
767,1,110.20,122.73
768,1,8404.00,14760.83
769,1,7348.25,6281.60
770,1,4503.00,4893.67
771,1,1343.88,1210.58
772,1,1352.00,952.02
773,1,3555.57,2291.42
774,1,1393.83,1731.33
776,1,3005.00,5551.00
777,1,199.50,132.45
778,1,1211.83,1736.81
779,1,982.40,563.57
781,1,10829.60,13194.33
782,1,1351.50,122.33
783,1,73.50,0.71
784,1,91.00,130.92
785,1,91.00,100.67
786,1,1044.83,1020.56
787,1,4080.67,1789.03
789,1,1289.67,1938.48
790,1,1032.17,523.71
791,1,9228.25,8801.31
792,1,38663.39,59508.50
793,1,2418.40,1092.21
794,1,19947.40,14906.86
795,1,2810.20,4837.41
797,1,6090.40,5598.16
798,1,12893.40,4182.05
799,1,8660.29,4947.71
800,1,23879.50,29450.50
801,1,19142.00,17629.37
802,1,10853.00,20780.14
803,1,2082.60,1873.29
804,1,2369.80,1836.36
805,1,12392.75,15925.06
806,1,3824.50,1330.15
807,1,6921.57,7068.32
808,1,3798.00,1107.15
809,1,146.17,252.71
810,1,22410.25,29730.14
811,1,501.40,784.28
812,1,714.60,954.53
813,1,1204.33,1705.13
814,1,988.57,1727.01
815,1,80.00,58.16
816,1,2525.83,1764.74
817,1,1519.50,557.91
818,1,1757.60,1989.52
819,1,39639.40,7845.39
820,1,5027.33,3841.61
821,1,5491.75,6021.81
822,1,3200.20,1538.99
824,1,3505.00,2872.97
825,1,238.67,494.36
826,1,2757.00,2195.82
827,1,6015.83,8536.82
