districtid,timeid,statemean,statestdev
120,8,7.05,9.58
120,9,1.86,2.97
120,10,1.10,1.64
120,11,2.24,2.32
120,12,1.76,1.64
120,13,4.24,5.99
120,14,5.95,10.05
120,15,5.33,5.52
120,16,8.10,15.47
120,17,10.71,19.72
120,18,15.33,21.88
120,19,20.81,30.76
120,20,42.67,46.70
120,21,42.67,47.71
120,22,45.52,47.54
120,23,58.38,81.25
120,24,64.57,61.35
121,1,0.07,0.25
121,2,0.12,0.33
121,3,0.34,0.48
121,4,0.45,0.50
121,5,0.46,0.58
121,6,0.53,0.60
121,7,2.51,5.13
121,8,2.89,5.74
121,9,3.43,4.49
121,10,5.92,8.20
121,11,4.73,6.59
121,12,5.77,5.98
121,13,8.08,10.07
121,14,7.92,10.78
121,15,8.99,16.91
121,16,10.57,16.83
121,17,19.34,32.19
121,18,26.51,35.04
121,19,40.11,58.10
121,20,48.27,58.03
121,21,62.35,80.57
121,22,63.92,91.77
121,23,69.82,101.02
121,24,75.28,98.18
122,1,0.18,0.39
122,2,0.21,0.41
122,3,0.26,0.45
122,4,0.41,0.50
122,5,0.56,0.50
122,6,0.76,0.43
122,7,9.71,42.67
122,8,12.26,47.93
122,9,24.24,121.16
122,10,12.71,47.31
122,11,13.00,48.98
122,12,15.32,51.03
122,13,15.50,59.19
122,14,16.09,54.45
122,15,17.56,46.60
122,16,21.12,51.17
122,17,25.03,54.01
122,18,28.12,55.33
122,19,31.91,54.57
122,20,33.03,50.57
122,21,32.12,48.16
122,22,32.09,49.32
122,23,17.00,16.44
122,24,37.41,56.60
123,1,0.25,0.45
123,2,0.50,0.52
123,3,0.83,0.39
123,4,0.83,0.39
123,5,0.67,0.49
123,6,0.92,0.29
123,7,0.92,0.29
123,8,5.08,4.93
123,9,4.67,3.45
123,10,9.25,8.40
123,11,7.75,9.01
123,12,12.17,10.09
123,13,14.42,14.44
123,14,24.75,21.38
123,15,48.33,31.02
123,16,52.50,36.57
123,17,122.00,81.49
123,18,311.92,252.01
123,19,590.83,348.17
123,20,679.00,351.65
123,21,758.67,336.77
123,22,656.75,238.05
123,23,771.33,315.93
123,24,807.00,219.13
124,1,0.11,0.32
124,2,0.21,0.42
124,3,0.37,0.50
124,4,0.68,0.48
124,5,0.58,0.51
124,6,0.53,0.51
124,7,2.00,3.57
124,8,1.84,3.35
124,9,5.47,10.79
124,10,5.68,8.63
124,11,9.05,10.06
124,12,8.47,14.04
124,13,7.84,9.81
124,14,8.00,7.75
124,15,11.00,15.45
124,16,12.79,15.95
124,17,14.84,17.56
124,18,36.26,57.81
124,19,26.47,35.06
124,20,31.63,67.88
124,21,24.21,40.53
124,22,25.95,30.86
124,23,29.95,46.62
124,24,27.95,34.19
125,1,0.03,0.19
125,2,0.03,0.19
125,3,0.21,0.41
125,4,0.17,0.38
125,5,0.10,0.31
125,6,0.14,0.35
125,7,0.38,0.49
125,8,0.41,0.50
125,9,3.03,6.37
125,10,4.55,6.79
125,11,4.17,3.20
125,12,7.10,11.98
125,13,9.10,16.86
125,14,8.24,12.16
125,15,10.24,12.14
125,16,19.86,41.17
125,17,21.17,40.54
125,18,21.86,38.01
125,19,48.76,105.11
125,20,54.79,74.62
125,21,57.31,70.90
125,22,85.72,89.26
125,23,96.48,91.91
125,24,111.76,156.70
126,1,0.00,0.00
126,2,0.00,0.00
126,3,0.05,0.21
126,4,0.00,0.00
126,5,0.00,0.00
126,6,0.00,0.00
126,7,0.00,0.00
126,8,0.00,0.00
126,9,0.00,0.00
126,10,0.00,0.00
126,11,0.09,0.29
126,12,0.32,0.48
126,13,0.77,1.57
126,14,1.59,3.40
126,15,0.73,1.39
126,16,0.91,2.09
126,17,0.86,1.58
126,18,1.77,2.43
126,19,2.27,2.81
126,20,4.86,8.19
126,21,3.09,4.77
126,22,2.59,3.75
126,23,5.86,8.01
126,24,5.41,6.08
127,1,0.02,0.14
127,2,0.12,0.33
127,3,0.12,0.33
127,4,0.39,0.49
127,5,0.39,0.53
127,6,0.31,0.68
127,7,2.31,5.52
127,8,2.63,8.12
127,9,4.61,12.18
127,10,4.96,12.88
127,11,5.61,13.83
127,12,5.24,9.17
127,13,4.31,11.66
127,14,3.59,6.62
127,15,3.90,7.49
127,16,6.92,13.52
127,17,10.96,21.76
127,18,13.71,25.33
127,19,14.18,28.27
127,20,16.94,31.38
127,21,18.00,31.83
127,22,20.76,32.65
127,23,23.63,38.35
127,24,28.04,45.34
128,1,0.00,0.00
128,2,0.14,0.35
128,3,0.22,0.42
128,4,0.08,0.28
128,5,0.16,0.37
128,6,0.46,0.51
128,7,0.70,0.46
128,8,0.84,0.37
128,9,0.97,0.16
128,10,1.05,0.91
128,11,1.00,0.00
128,12,1.00,0.00
128,13,1.00,0.00
128,14,0.97,0.16
128,15,1.00,0.00
128,16,10.78,12.20
128,17,19.62,25.49
128,18,45.14,57.06
128,19,74.27,97.59
128,20,93.70,100.69
128,21,105.03,86.28
128,22,93.62,83.07
128,23,59.22,46.64
128,24,53.59,52.34
129,1,0.18,0.39
129,2,0.21,0.41
129,3,0.26,0.45
129,4,0.44,0.50
129,5,0.56,0.50
129,6,0.76,0.43
129,7,9.76,42.66
129,8,12.18,47.95
129,9,24.26,121.16
129,10,12.65,47.32
129,11,12.88,49.00
129,12,15.32,51.03
129,13,15.38,59.22
129,14,16.12,54.45
129,15,17.74,46.57
129,16,21.03,51.20
129,17,25.15,53.96
129,18,28.21,55.29
129,19,32.12,54.47
129,20,33.29,50.43
129,21,32.29,48.06
129,22,32.21,49.26
129,23,17.38,16.26
129,24,37.38,56.62
130,1,0.05,0.23
130,2,0.32,0.47
130,3,0.81,0.40
130,4,0.78,0.42
130,5,0.81,0.40
130,6,0.76,0.43
130,7,0.54,0.51
130,8,0.86,0.35
130,9,0.76,0.49
130,10,0.84,0.37
130,11,0.86,0.35
130,12,2.92,6.65
130,13,54.16,248.80
130,14,64.19,215.42
130,15,99.97,328.31
130,16,115.41,303.14
130,17,106.08,199.92
130,18,129.03,203.21
130,19,188.32,230.15
130,20,157.11,186.42
130,21,157.78,178.02
130,22,155.97,202.23
130,23,160.16,222.90
130,24,169.73,224.68
131,1,0.00,0.00
131,2,0.14,0.35
131,3,0.22,0.42
131,4,0.08,0.28
131,5,0.16,0.37
131,6,0.43,0.50
131,7,0.70,0.46
131,8,0.81,0.40
131,9,0.97,0.16
131,10,1.05,0.91
131,11,1.00,0.00
131,12,1.00,0.00
131,13,1.00,0.00
131,14,0.97,0.16
131,15,1.00,0.00
131,16,10.76,12.22
131,17,19.62,25.49
131,18,45.43,56.91
131,19,75.08,97.29
131,20,94.03,100.53
131,21,106.70,85.66
131,22,95.03,82.22
131,23,60.00,46.17
131,24,55.92,52.63
132,1,0.02,0.14
132,2,0.12,0.33
132,3,0.12,0.33
132,4,0.39,0.49
132,5,0.39,0.53
132,6,0.31,0.68
132,7,2.33,5.52
132,8,2.65,8.11
132,9,4.59,12.18
132,10,4.88,12.90
132,11,5.61,13.83
132,12,5.25,9.16
132,13,4.33,11.65
132,14,3.59,6.62
132,15,3.88,7.50
132,16,6.88,13.54
132,17,10.96,21.76
132,18,13.71,25.33
132,19,14.20,28.26
132,20,16.94,31.38
132,21,18.02,31.83
132,22,20.92,32.58
132,23,24.22,38.24
132,24,28.12,45.31
133,1,0.07,0.25
133,2,0.12,0.33
133,3,0.34,0.48
133,4,0.45,0.50
133,5,0.46,0.58
133,6,0.53,0.60
133,7,2.57,5.12
133,8,2.88,5.74
133,9,3.42,4.49
133,10,5.95,8.19
133,11,4.72,6.59
133,12,5.85,5.96
133,13,8.09,10.06
133,14,7.89,10.78
133,15,8.96,16.91
133,16,10.66,16.80
133,17,19.53,32.13
133,18,27.00,35.11
133,19,39.62,58.24
133,20,48.30,58.02
133,21,62.78,80.39
133,22,64.04,91.73
133,23,70.09,100.94
133,24,75.93,97.93
134,1,0.00,0.00
134,2,0.14,0.35
134,3,0.22,0.42
134,4,0.08,0.28
134,5,0.16,0.37
134,6,0.43,0.50
134,7,0.70,0.46
134,8,0.81,0.40
134,9,0.97,0.16
134,10,1.05,0.91
134,11,1.00,0.00
134,12,1.00,0.00
134,13,1.00,0.00
134,14,0.97,0.16
134,15,1.00,0.00
134,16,10.78,12.20
134,17,19.73,25.42
134,18,44.30,57.14
134,19,75.11,97.27
134,20,93.05,100.87
134,21,105.62,86.20
134,22,93.89,82.98
134,23,58.73,46.67
134,24,55.62,52.81
135,1,0.17,0.38
135,2,0.34,0.48
135,3,0.51,0.51
135,4,0.51,0.51
135,5,0.51,0.51
135,6,23.17,102.06
135,7,21.49,92.28
135,8,33.34,124.91
135,9,43.69,158.71
135,10,75.43,274.23
135,11,82.71,265.83
135,12,76.26,233.26
135,13,96.80,275.28
135,14,108.23,288.13
135,15,177.69,471.89
135,16,195.97,473.54
135,17,223.86,554.74
135,18,230.46,550.35
135,19,255.49,593.05
135,20,270.83,510.14
135,21,355.77,560.50
135,22,357.17,581.22
135,23,406.54,600.25
135,24,454.34,715.13
136,1,0.07,0.25
136,2,0.12,0.33
136,3,0.34,0.48
136,4,0.46,0.50
136,5,0.47,0.58
136,6,0.53,0.60
136,7,2.57,5.12
136,8,2.89,5.74
136,9,3.42,4.49
136,10,5.92,8.20
136,11,4.68,6.60
136,12,5.85,5.96
136,13,8.04,10.08
136,14,7.95,10.77
136,15,8.84,16.90
136,16,10.65,16.81
136,17,19.01,32.10
136,18,26.61,35.09
136,19,39.68,58.24
136,20,47.88,58.09
136,21,62.15,80.59
136,22,63.89,91.77
136,23,69.22,101.01
136,24,74.74,98.14
137,1,0.07,0.25
137,2,0.12,0.33
137,3,0.32,0.47
137,4,0.45,0.50
137,5,0.46,0.58
137,6,0.53,0.60
137,7,2.57,5.12
137,8,2.88,5.74
137,9,3.42,4.49
137,10,5.76,8.12
137,11,4.47,6.35
137,12,5.76,5.98
137,13,8.08,10.07
137,14,7.92,10.78
137,15,8.93,16.92
137,16,10.55,16.84
137,17,19.53,32.13
137,18,27.09,35.07
137,19,39.19,58.11
137,20,47.97,58.09
137,21,61.45,80.37
137,22,63.86,91.78
137,23,69.85,101.02
137,24,75.35,98.17
138,1,0.03,0.16
138,2,0.07,0.27
138,3,0.28,0.45
138,4,0.30,0.46
138,5,0.38,0.49
138,6,0.33,0.47
138,7,0.35,0.48
138,8,0.40,0.50
138,9,0.53,0.51
138,10,0.70,0.46
138,11,0.70,0.46
138,12,0.68,0.47
138,13,0.72,0.45
138,14,0.70,0.46
138,15,0.75,0.44
138,16,0.75,0.44
138,17,0.75,0.44
138,18,0.75,0.49
138,19,126.80,320.47
138,20,129.30,291.13
138,21,179.45,421.03
138,22,220.45,555.23
138,23,189.57,467.31
138,24,208.10,467.14
139,1,0.03,0.16
139,2,0.07,0.27
139,3,0.28,0.45
139,4,0.28,0.45
139,5,0.35,0.48
139,6,0.30,0.46
139,7,0.33,0.47
139,8,0.38,0.49
139,9,0.50,0.51
139,10,0.68,0.47
139,11,0.68,0.47
139,12,0.65,0.48
139,13,0.70,0.46
139,14,0.68,0.47
139,15,0.72,0.45
139,16,0.72,0.45
139,17,0.72,0.45
139,18,0.72,0.51
139,19,125.38,320.92
139,20,125.95,291.84
139,21,175.72,421.97
139,22,216.25,556.27
139,23,186.12,468.21
139,24,204.30,468.23
140,1,0.08,0.29
140,2,0.17,0.39
140,3,0.33,0.49
140,4,0.42,0.51
140,5,0.25,0.45
140,6,0.17,0.39
140,7,0.17,0.39
140,8,0.50,1.17
140,9,0.67,1.15
140,10,7.75,15.04
140,11,3.83,3.59
140,12,6.67,5.68
140,13,3.50,2.58
140,14,2.17,1.70
140,15,2.17,2.89
140,16,1.42,0.90
140,17,1.33,0.89
140,18,5.42,8.34
140,19,11.33,15.72
140,20,4.00,3.67
140,21,23.67,44.67
140,22,27.58,38.03
140,23,40.08,46.07
140,24,57.50,65.33
141,1,0.07,0.25
141,2,0.11,0.31
141,3,0.32,0.47
141,4,0.45,0.50
141,5,0.46,0.58
141,6,0.54,0.60
141,7,2.55,5.13
141,8,2.85,5.75
141,9,3.45,4.48
141,10,5.96,8.18
141,11,4.61,6.57
141,12,5.70,5.94
141,13,7.89,10.03
141,14,7.89,10.78
141,15,8.84,16.90
141,16,10.51,16.84
141,17,19.43,32.17
141,18,27.05,35.09
141,19,40.05,58.13
141,20,48.61,57.82
141,21,62.91,80.31
141,22,64.23,91.66
141,23,70.47,100.74
141,24,76.01,97.87
142,1,0.07,0.25
142,2,0.12,0.33
142,3,0.34,0.48
142,4,0.46,0.50
142,5,0.47,0.58
142,6,0.53,0.60
142,7,2.50,5.12
142,8,2.82,5.74
142,9,3.42,4.49
142,10,5.95,8.19
142,11,4.69,6.60
142,12,5.80,5.98
142,13,8.08,10.07
142,14,7.96,10.77
142,15,9.01,16.90
142,16,10.65,16.81
142,17,19.49,32.15
142,18,27.15,35.03
142,19,40.14,58.08
142,20,48.41,57.96
142,21,62.34,80.57
142,22,63.92,91.77
142,23,69.59,101.05
142,24,75.69,98.06
143,1,0.00,0.00
143,2,0.00,0.00
143,3,0.30,0.47
143,4,0.06,0.24
143,5,0.12,0.33
143,6,0.00,0.00
143,7,0.18,0.73
