districtid,timeid,statemean,statestdev
159,5,746.59,944.29
159,6,1226.16,1415.97
159,7,235.47,331.42
160,1,1.20,5.24
160,2,28.45,66.92
160,3,77.15,76.66
160,4,205.99,277.17
160,5,826.41,1037.29
160,6,1925.38,2616.21
160,7,389.99,548.54
161,1,2.68,6.35
161,2,25.05,34.04
161,3,88.63,86.62
161,4,232.79,194.64
161,5,622.16,825.77
161,6,863.89,1048.15
161,7,230.58,367.93
162,1,2.22,5.42
162,2,76.38,176.92
162,3,192.84,262.49
162,4,281.88,375.78
162,5,747.69,943.50
162,6,1223.88,1417.37
162,7,233.19,331.87
163,1,1.12,5.21
163,2,28.43,66.92
163,3,78.59,77.11
163,4,205.80,277.19
163,5,809.15,1026.51
163,6,1902.05,2603.30
163,7,387.47,547.63
164,1,0.14,0.58
164,2,4.76,10.90
164,3,61.97,84.29
164,4,173.34,211.97
164,5,844.76,1692.98
164,6,2411.10,2551.81
164,7,545.07,723.51
165,1,2.22,5.42
165,2,76.34,176.94
165,3,190.25,263.88
165,4,275.50,378.00
165,5,718.12,949.53
165,6,1210.22,1423.12
165,7,236.53,331.03
166,1,1.90,4.28
166,2,20.24,26.24
166,3,83.86,70.35
166,4,155.71,190.65
166,5,494.62,589.47
166,6,1759.38,1780.35
166,7,352.19,304.54
167,1,0.03,0.17
167,2,1.24,2.09
167,3,38.36,62.88
167,4,108.39,230.73
167,5,887.06,2344.42
167,6,1369.88,2517.91
167,7,188.91,640.55
168,1,1.25,6.26
168,2,49.63,211.86
168,3,106.65,312.91
168,4,106.49,249.22
168,5,346.41,639.28
168,6,621.18,1043.71
168,7,153.49,250.34
169,1,0.04,0.19
169,2,1.15,5.20
169,3,16.81,17.97
169,4,87.26,93.42
169,5,227.33,497.57
169,6,800.33,1607.06
169,7,424.52,810.18
170,1,1.20,5.24
170,2,28.15,66.99
170,3,77.20,76.72
170,4,205.91,277.18
170,5,829.89,1036.80
170,6,1938.58,2616.49
170,7,393.66,548.30
171,1,1.90,4.28
171,2,20.24,26.24
171,3,82.76,71.16
171,4,155.24,190.95
171,5,490.19,591.69
171,6,1705.95,1788.07
171,7,336.95,306.93
172,1,7.80,24.40
172,2,290.29,1179.01
172,3,1630.80,5680.59
172,4,3057.29,8009.53
172,5,7040.26,15138.12
172,6,10457.91,16216.21
172,7,2588.63,3716.79
173,1,0.54,1.48
173,2,10.62,17.95
173,3,81.76,44.21
173,4,161.46,90.54
173,5,1074.11,1271.75
173,6,2208.49,1919.78
173,7,250.78,215.48
174,1,0.93,3.01
174,2,9.45,21.01
174,3,64.03,84.79
174,4,295.95,691.06
174,5,2649.28,7966.80
174,6,5232.70,11621.11
174,7,1120.45,2464.38
175,1,0.93,3.01
175,2,10.95,22.82
175,3,66.10,84.43
175,4,297.32,690.75
175,5,2668.65,7966.44
175,6,5394.27,11627.60
175,7,1150.75,2467.52
176,1,0.47,1.18
176,2,8.68,18.06
176,3,60.88,81.19
176,4,195.28,278.52
176,5,1447.10,1439.86
176,6,3618.18,3599.83
176,7,779.42,757.42
177,1,0.93,3.01
177,2,11.10,22.77
177,3,66.33,84.26
177,4,300.18,689.72
177,5,2721.82,7955.26
177,6,5457.70,11604.31
177,7,1170.22,2461.27
178,1,1.25,6.26
178,2,50.12,211.78
178,3,106.69,312.90
178,4,107.08,249.07
178,5,353.78,639.38
178,6,621.57,1043.65
178,7,153.16,250.42
179,1,1.20,5.24
179,2,28.45,66.92
179,3,78.68,77.08
179,4,207.11,276.86
179,5,831.18,1036.40
179,6,1951.95,2611.61
179,7,395.55,547.45
180,1,2.84,15.01
180,2,27.38,83.92
180,3,33.22,161.21
180,4,422.03,1953.89
180,5,1441.31,4577.49
180,6,1899.66,2269.15
180,7,405.19,355.12
181,1,0.10,0.56
181,2,4.14,10.63
181,3,59.00,84.63
181,4,172.31,212.32
181,5,842.72,1693.61
181,6,2401.14,2553.93
181,7,556.21,726.15
182,1,0.54,1.48
182,2,10.78,17.92
182,3,83.89,49.45
182,4,158.32,86.76
182,5,1052.59,1261.40
182,6,2226.11,1930.06
182,7,246.84,214.18
183,1,7.80,24.40
183,2,290.29,1179.01
183,3,1631.23,5680.47
183,4,3057.94,8009.27
183,5,7053.80,15132.00
183,6,10549.66,16169.22
183,7,2592.97,3714.33
184,1,2.22,5.42
184,2,72.94,177.30
184,3,188.84,264.26
184,4,240.41,320.14
184,5,720.56,950.22
184,6,1202.44,1424.39
184,7,236.97,330.84
185,1,2.06,4.64
185,2,126.15,520.29
185,3,363.97,1566.76
185,4,457.18,1568.93
185,5,827.18,1649.08
185,6,1007.56,1584.45
185,7,189.79,295.21
186,1,1.91,4.63
186,2,125.85,520.34
186,3,362.06,1567.17
186,4,458.59,1568.66
186,5,813.35,1648.53
186,6,985.35,1583.48
186,7,185.79,295.23
187,1,1.44,3.49
187,2,76.06,177.05
187,3,189.97,263.97
187,4,279.91,376.86
187,5,738.03,948.93
187,6,1189.59,1423.33
187,7,236.34,331.11
188,1,1.25,6.26
188,2,50.14,211.77
188,3,106.08,313.03
188,4,104.43,249.15
188,5,352.57,639.67
188,6,627.35,1041.88
188,7,154.63,249.89
189,1,1.38,2.54
189,2,13.95,17.68
189,3,81.00,162.52
189,4,575.00,1163.96
189,5,954.86,1214.62
189,6,1389.86,970.77
189,7,443.43,294.93
190,1,0.54,1.48
190,2,10.62,17.95
190,3,86.32,50.69
190,4,163.08,90.79
190,5,1071.84,1271.33
190,6,2253.16,1933.57
190,7,253.68,214.64
191,1,1.20,6.26
191,2,40.24,201.64
191,3,88.37,288.39
191,4,81.76,178.82
191,5,288.02,451.73
191,6,548.55,911.39
191,7,136.75,223.76
192,1,0.93,3.01
192,2,10.75,22.83
192,3,62.60,83.80
192,4,289.10,690.93
192,5,2681.72,7965.08
192,6,5399.48,11626.24
192,7,1161.83,2464.76
193,1,0.04,0.19
193,2,1.15,5.20
193,3,16.89,17.90
193,4,87.41,93.28
193,5,231.59,496.70
193,6,809.15,1605.55
193,7,426.89,809.29
194,1,1.20,5.24
194,2,28.03,66.99
194,3,78.32,77.18
194,4,205.81,277.18
194,5,831.80,1036.16
194,6,1944.81,2614.86
194,7,392.91,548.50
195,1,2.22,5.42
195,2,75.25,177.30
195,3,191.12,263.51
195,4,276.31,377.92
195,5,698.44,936.04
195,6,1160.12,1405.85
195,7,229.97,331.59
196,1,0.09,0.30
196,2,3.00,4.98
196,3,24.82,36.31
196,4,54.18,58.80
196,5,142.45,157.12
196,6,301.55,224.94
196,7,76.73,63.98
197,1,0.04,0.19
197,2,1.15,5.20
197,3,15.07,16.98
197,4,82.56,94.28
197,5,216.85,495.20
197,6,782.26,1605.77
197,7,399.93,807.54
198,1,0.95,2.06
198,2,0.00,0.00
198,3,223.86,449.22
198,4,585.23,908.46
198,5,2334.05,3990.23
198,6,4139.73,4925.37
198,7,667.77,748.66
199,1,0.00,0.00
199,2,0.07,0.26
199,3,2.93,5.57
199,4,72.93,53.83
199,5,89.87,75.21
199,6,233.07,397.91
199,7,36.20,58.82
200,1,0.03,0.17
200,2,1.24,2.09
200,3,38.91,62.73
200,4,110.64,230.45
200,5,901.27,2341.20
200,6,1372.70,2516.68
200,7,188.91,640.55
201,1,0.04,0.21
201,2,4.30,16.54
201,3,22.30,27.32
201,4,79.61,82.73
201,5,373.96,441.37
201,6,1263.70,1398.14
201,7,326.61,581.55
202,1,0.03,0.17
202,2,1.09,1.99
202,3,39.27,62.53
202,4,111.45,230.16
202,5,891.88,2343.67
202,6,1361.48,2520.89
202,7,183.15,641.40
203,1,2.06,4.64
203,2,126.47,520.22
203,3,363.09,1566.96
203,4,461.79,1567.87
203,5,842.06,1645.00
203,6,1019.91,1580.13
203,7,191.91,294.40
204,1,0.14,0.58
204,2,4.76,10.90
204,3,61.10,84.72
204,4,176.10,210.27
204,5,852.34,1690.00
204,6,2454.72,2528.18
204,7,569.03,722.60
205,1,1.20,5.24
205,2,28.24,66.98
205,3,78.92,76.93
205,4,207.01,276.90
205,5,833.47,1035.38
205,6,1944.04,2615.12
205,7,393.45,548.37
206,1,2.63,6.36
206,2,28.47,36.47
206,3,91.68,87.69
206,4,249.74,214.39
206,5,631.63,829.68
206,6,847.84,1044.56
206,7,223.84,367.95
207,1,1.19,5.24
207,2,27.78,66.95
207,3,78.30,77.19
207,4,201.69,275.13
207,5,827.38,1037.24
207,6,1946.07,2614.39
207,7,393.65,548.31
208,1,7.71,24.42
208,2,289.80,1179.13
208,3,1630.94,5680.55
208,4,3054.09,8010.73
208,5,7028.86,15142.92
208,6,10513.86,16189.87
208,7,2589.66,3716.22
209,1,2.22,5.42
209,2,76.41,176.91
209,3,193.22,262.22
209,4,283.06,374.96
209,5,746.16,944.59
209,6,1224.44,1417.03
209,7,234.69,331.64
210,1,1.25,6.26
210,2,50.12,211.78
210,3,101.27,311.86
210,4,105.80,249.29
210,5,355.55,638.73
210,6,628.92,1041.11
210,7,154.90,249.74
211,1,0.54,1.48
211,2,9.84,17.25
211,3,85.97,50.79
211,4,164.08,90.38
211,5,1086.62,1271.21
211,6,2255.32,1933.21
211,7,254.19,214.34
212,1,0.00,0.00
212,2,0.07,0.26
212,3,2.93,5.57
212,4,78.27,49.91
212,5,90.40,74.55
212,6,158.73,288.19
212,7,33.80,57.63
213,1,0.00,0.00
213,2,1.21,2.10
213,3,37.55,62.79
213,4,110.82,230.40
213,5,868.58,2344.09
213,6,1246.67,2462.71
213,7,177.82,640.56
214,1,0.93,3.01
214,2,11.10,22.77
214,3,66.33,84.26
214,4,299.35,690.07
214,5,2705.93,7960.17
214,6,5415.27,11621.50
214,7,1164.08,2463.94
215,1,0.09,0.30
215,2,2.45,4.95
215,3,25.18,36.21
215,4,53.64,59.05
215,5,141.64,157.65
215,6,293.27,225.63
215,7,77.18,63.81
216,1,0.50,1.45
216,2,3.92,6.73
216,3,69.75,77.96
216,4,159.42,133.21
216,5,357.00,432.98
216,6,1031.83,1127.11
216,7,340.83,321.04
217,1,0.50,1.45
217,2,3.92,6.73
217,3,69.83,77.89
217,4,160.92,131.88
217,5,353.17,436.01
217,6,1038.33,1121.99
217,7,336.58,324.91
218,1,0.12,0.35
218,2,0.00,0.00
218,3,0.00,0.00
218,4,18.00,16.49
218,5,30.50,64.99
218,6,74.88,127.93
218,7,6.38,12.60
219,1,1.20,5.24
219,2,28.46,66.91
219,3,78.95,76.91
219,4,206.54,277.06
219,5,827.20,1037.26
219,6,1944.55,2614.95
219,7,394.08,548.15
220,1,0.00,0.00
220,2,0.07,0.26
220,3,2.87,5.60
220,4,75.80,52.92
220,5,90.33,74.64
220,6,236.47,396.54
220,7,38.60,58.32
221,1,0.00,0.00
221,2,0.00,0.00
221,3,0.00,0.00
221,4,0.00,0.00
221,5,0.00,0.00
221,6,0.00,0.00
221,7,0.00,0.00
222,1,7.80,24.40
222,2,290.26,1179.01
222,3,1631.46,5680.40
222,4,3057.34,8009.51
222,5,7048.91,15134.26
222,6,10518.29,16187.47
222,7,2571.66,3724.60
223,1,0.00,0.00
223,2,0.05,0.21
223,3,0.05,0.21
223,4,4.91,10.50
223,5,56.64,163.99
223,6,103.95,129.64
223,7,33.41,62.96
224,1,0.03,0.17
224,2,1.24,2.09
224,3,39.03,62.67
224,4,111.79,230.01
224,5,903.97,2340.25
224,6,1379.45,2513.29
224,7,188.91,640.55
225,1,1.38,2.54
225,2,14.05,17.61
225,3,81.86,162.18
225,4,590.10,1159.06
225,5,968.57,1205.81
225,6,1413.62,943.76
225,7,452.14,285.11
226,1,0.04,0.21
226,2,4.74,16.55
226,3,22.78,27.02
226,4,78.65,83.26
226,5,370.09,442.32
226,6,1299.09,1387.21
226,7,351.30,581.82
227,1,3.05,6.64
227,2,57.49,143.04
227,3,507.41,2264.70
227,4,1702.08,7094.47
227,5,3943.38,6803.43
227,6,4601.22,5941.21
227,7,750.73,924.78
228,1,2.51,5.63
228,2,35.51,30.82
228,3,162.16,239.69
228,4,640.43,870.86
228,5,3069.00,2670.61
228,6,3946.41,3027.40
228,7,662.89,597.97
229,1,1.25,6.26
229,2,50.14,211.77
229,3,106.78,312.87
229,4,106.98,249.10
229,5,351.59,639.82
229,6,625.49,1042.64
229,7,153.27,250.39
230,1,1.25,6.26
230,2,50.04,211.79
230,3,107.08,312.78
230,4,106.73,249.17
230,5,354.96,638.97
230,6,624.90,1042.84
230,7,154.24,250.08
231,1,2.06,4.64
231,2,126.68,520.18
231,3,363.65,1566.84
231,4,462.06,1567.79
231,5,843.38,1644.40
231,6,1022.94,1578.53
231,7,192.03,294.34
232,1,0.90,3.01
232,2,10.85,22.83
232,3,63.38,84.47
232,4,298.23,690.48
232,5,2682.97,7964.90
232,6,5397.73,11626.71
232,7,1154.00,2466.93
233,1,0.93,3.01
233,2,11.10,22.77
233,3,65.88,84.57
233,4,298.62,690.34
233,5,2699.00,7961.89
