districtid,timeid,statemean,statestdev
557,1,3810.22,3416.69
558,1,2599.15,5664.31
559,1,4169.22,9241.76
560,1,12252.70,22658.75
561,1,213.73,354.45
562,1,24973.83,45059.03
563,1,25137.54,44987.83
564,1,4285.69,9217.15
565,1,1573.96,2954.47
566,1,3003.26,6489.86
567,1,1398.78,2575.30
568,1,23965.71,45011.30
569,1,2995.41,6492.58
570,1,3877.03,3410.24
571,1,4031.07,4721.56
572,1,1383.24,2578.17
573,1,12270.43,22650.64
574,1,4273.25,9222.17
575,1,1405.14,2572.69
576,1,4180.09,9241.58
577,1,446.80,454.09
578,1,6372.32,8701.55
579,1,289.30,578.97
580,1,3510.00,0.00
581,1,1894.14,1517.68
582,1,4119.83,4681.61
583,1,3497.76,3507.39
584,1,25025.51,45038.95
585,1,221.59,352.05
586,1,2141.26,2423.63
587,1,5695.93,4216.40
588,1,2084.30,2445.88
589,1,24438.17,45137.69
590,1,2649.94,3202.38
591,1,3459.81,3532.99
592,1,3396.71,3554.48
593,1,2975.91,6497.85
594,1,3325.81,3547.68
595,1,1403.39,2573.49
596,1,146.59,137.19
597,1,25136.60,44988.31
598,1,7863.95,10865.91
599,1,7808.14,10881.83
600,1,2990.35,6494.15
601,1,5773.00,4190.28
602,1,2860.48,2816.46
603,1,2593.33,2660.56
604,1,3336.03,1402.54
605,1,1934.92,2023.28
606,1,4220.12,9237.17
607,1,12282.76,22644.69
608,1,414.22,670.92
609,1,449.00,656.71
610,1,449.07,451.96
611,1,3475.65,4321.55
612,1,1961.75,2003.34
613,1,3013.65,6485.73
614,1,38033.50,12563.36
615,1,2765.94,3189.68
616,1,3481.46,4320.00
617,1,3357.57,4223.40
618,1,700.33,548.90
619,1,12142.84,22696.85
620,1,2075.32,2238.75
621,1,2197.79,2210.10
622,1,19669.80,34107.02
623,1,7918.95,10843.43
624,1,7737.91,10892.05
625,1,3997.03,4723.07
626,1,3818.51,3418.67
627,1,7983.18,10808.58
628,1,9728.27,22633.67
629,1,3487.23,4317.86
630,1,9524.35,22684.88
631,1,24255.49,45110.61
632,1,1506.52,2955.84
633,1,12309.05,22631.10
634,1,1021.22,997.76
635,1,1394.61,2576.56
636,1,4241.50,9232.39
637,1,1391.45,2577.28
638,1,2861.18,6486.13
639,1,1480.26,2944.25
640,1,2171.00,2228.57
641,1,2742.62,3203.74
642,1,9636.25,22666.35
643,1,12187.35,22683.93
644,1,2186.63,2218.64
645,1,2073.78,2446.33
646,1,3459.39,4322.75
647,1,1710.65,1629.74
648,1,3943.41,9146.46
649,1,12018.62,22714.87
650,1,1385.96,2578.03
651,1,25090.11,45010.74
652,1,3965.93,4717.78
653,1,2199.95,2208.31
654,1,1392.25,2577.11
655,1,3351.62,3553.94
656,1,263.20,585.09
657,1,3378.10,3555.86
658,1,3815.62,3418.07
659,1,1970.58,1995.62
660,1,2881.90,2803.23
661,1,2716.71,2807.61
662,1,37371.33,12886.78
663,1,3000.62,6490.81
664,1,1384.92,2578.10
665,1,3447.34,4320.64
666,1,3841.08,3420.05
667,1,2124.61,2433.62
668,1,128.12,210.95
669,1,11981.84,22715.11
670,1,3842.78,3419.92
671,1,2180.95,2222.53
672,1,4034.66,4720.96
673,1,3487.42,4317.78
674,1,4189.78,9241.05
675,1,24724.20,45125.03
676,1,2816.24,2831.76
677,1,3482.16,4319.77
678,1,2102.87,2442.31
679,1,3815.27,3417.99
680,1,24721.49,45125.47
681,1,1396.94,2575.90
682,1,2763.88,3191.16
683,1,1393.57,2576.82
684,1,433.40,462.63
685,1,1403.55,2573.42
686,1,130.00,209.86
687,1,1395.10,2576.43
688,1,2891.43,2796.12
689,1,3459.84,4322.78
690,1,1399.47,2575.06
691,1,3493.23,4315.02
692,1,3889.41,3403.43
693,1,3915.78,3382.96
694,1,1398.12,2575.53
695,1,222.05,351.78
696,1,602.09,471.39
697,1,9482.52,22685.85
698,1,1385.80,2578.04
699,1,2131.53,2243.24
700,1,3499.95,4311.08
701,1,220.95,352.40
702,1,3477.78,4321.05
703,1,4219.59,9237.26
704,1,1402.55,2573.86
705,1,2695.00,3214.43
706,1,2117.13,2437.16
707,1,25180.80,44965.31
708,1,1401.10,2574.45
709,1,1801.43,1535.97
710,1,544.45,453.19
711,1,2739.06,3205.38
712,1,3455.24,3535.42
713,1,3861.41,3416.33
714,1,3477.86,4321.03
715,1,12206.43,22677.34
716,1,2611.82,5660.00
717,1,3854.65,3418.09
718,1,488.45,324.08
719,1,24594.43,45139.10
720,1,3485.80,4318.44
721,1,3300.10,3537.11
722,1,2556.61,5671.50
723,1,7502.82,10846.74
724,1,288.80,579.22
725,1,2666.00,0.00
726,1,2626.30,5653.85
727,1,1933.00,1494.06
728,1,290.10,578.56
729,1,291.40,577.85
730,1,2873.67,2808.77
731,1,38105.67,12497.57
732,1,1697.53,1189.70
733,1,4112.38,4686.98
734,1,1573.41,2954.67
735,1,3479.80,4320.50
736,1,3979.55,4720.88
737,1,3865.24,3415.09
738,1,1577.63,2953.12
739,1,2375.06,5558.06
740,1,2986.35,6495.29
741,1,1562.22,2957.93
742,1,4218.81,9237.41
743,1,433.87,462.45
744,1,3012.97,6486.02
745,1,2885.67,2800.51
746,1,213.36,354.46
747,1,1879.67,2048.09
748,1,12165.14,22690.80
749,1,21199.89,40341.05
750,1,12123.16,22701.48
751,1,11967.30,22714.57
752,1,11616.00,22590.56
753,1,4808.07,2543.35
754,1,12209.62,22676.17
755,1,12004.95,22715.23
756,1,405.13,458.64
757,1,5679.29,4219.03
758,1,1399.94,2574.89
759,1,2525.85,5669.72
760,1,213.64,354.45
761,1,12104.11,22705.32
762,1,12045.11,22713.25
763,1,12234.49,22666.51
764,1,12231.30,22667.81
765,1,12011.70,22715.09
766,1,2758.09,3195.07
767,1,444.67,659.63
768,1,9550.70,22682.61
769,1,9728.27,22633.67
770,1,9728.27,22633.67
771,1,2702.53,3214.35
772,1,2604.88,5662.48
773,1,1631.08,1891.54
774,1,2171.42,2228.34
775,1,9415.33,22680.61
776,1,1371.53,2577.05
777,1,431.33,463.34
778,1,1406.25,2572.15
779,1,584.73,475.78
780,1,25228.09,44938.91
781,1,3478.57,4320.84
782,1,1957.14,1474.39
783,1,222.82,351.29
784,1,219.55,353.08
785,1,215.77,354.23
786,1,1566.48,2956.83
787,1,7945.91,10829.93
788,1,9584.73,22677.77
789,1,1908.92,2037.64
790,1,2765.32,6419.87
791,1,3842.05,3419.98
792,1,2993.12,6493.31
793,1,3385.69,4269.57
794,1,12009.35,22715.15
795,1,1388.96,2577.69
796,1,9548.77,22682.82
797,1,4275.50,9221.31
798,1,12097.27,22706.54
799,1,11964.38,22714.41
800,1,37018.42,12859.85
801,1,38426.33,12127.54
802,1,4256.31,9228.09
803,1,4253.78,9228.88
804,1,4133.88,9239.33
805,1,25187.23,44961.83
806,1,25168.74,44971.74
807,1,5930.79,4063.27
808,1,3835.97,3420.25
809,1,249.40,582.55
810,1,36886.00,12814.21
811,1,288.20,579.52
812,1,204.55,351.92
813,1,2626.67,5653.68
814,1,285.70,580.67
815,1,211.50,354.37
816,1,2086.48,2445.65
817,1,1329.57,396.51
818,1,449.00,656.71
819,1,37821.42,12721.16
820,1,4262.03,9226.21
821,1,9578.62,22678.80
822,1,3438.48,3543.17
823,1,5170.67,8062.01
824,1,25113.71,44999.57
825,1,439.89,662.45
826,1,3023.15,6481.43
827,1,3022.91,6481.54
