districtid,timeid,neighbormean,neighborstdev
207,1,8.00,17.89
207,2,41.20,33.97
207,3,135.00,107.11
207,4,600.80,712.69
207,5,1099.80,1017.52
207,6,1561.60,1184.46
207,7,373.40,320.03
208,1,0.14,0.38
208,2,16.14,18.33
208,3,258.57,227.11
208,4,677.71,986.82
208,5,1776.71,2535.29
208,6,3804.71,5730.99
208,7,834.43,1103.26
209,1,5.00,11.18
209,2,73.80,86.72
209,3,114.80,104.16
209,4,94.40,68.62
209,5,325.40,409.41
209,6,1290.80,1420.95
209,7,246.40,302.23
210,1,0.80,1.30
210,2,40.20,19.78
210,3,215.80,213.51
210,4,709.20,1172.23
210,5,2136.80,2984.50
210,6,4598.80,6804.38
210,7,948.00,1330.53
211,1,0.00,0.00
211,2,16.00,17.51
211,3,90.20,47.48
211,4,133.20,49.16
211,5,1160.80,589.83
211,6,1813.60,631.24
211,7,175.80,63.85
213,1,0.11,0.33
213,2,0.22,0.44
213,3,9.22,16.40
213,4,49.67,54.36
213,5,172.11,244.66
213,6,224.44,290.11
213,7,28.44,56.17
214,1,3.44,6.58
214,2,17.44,26.83
214,3,26.67,52.26
214,4,147.67,172.12
214,5,1217.67,1290.39
214,6,3249.11,4516.28
214,7,754.00,1094.63
215,1,0.17,0.41
215,2,4.67,9.50
215,3,33.50,36.35
215,4,99.00,78.26
215,5,161.00,96.69
215,6,322.83,315.31
215,7,103.50,64.96
216,1,0.17,0.41
216,2,0.17,0.41
216,3,26.50,19.46
216,4,72.83,30.51
216,5,71.00,49.85
216,6,289.50,197.99
216,7,133.00,79.16
217,1,0.00,0.00
217,2,4.50,4.80
217,3,102.00,101.31
217,4,137.00,74.73
217,5,456.75,436.05
217,6,1139.75,1116.61
217,7,357.25,270.54
218,1,0.33,0.58
218,2,0.00,0.00
218,3,0.00,0.00
218,4,24.00,18.36
218,5,64.67,108.56
218,6,123.67,206.43
218,7,12.33,21.36
219,1,0.40,0.89
219,2,17.00,23.92
219,3,68.60,52.32
219,4,141.40,115.22
219,5,911.00,789.55
219,6,1974.20,1963.12
219,7,324.60,381.08
220,1,0.00,0.00
220,2,0.00,0.00
220,3,9.00,12.73
220,4,99.00,16.97
220,5,117.00,76.37
220,6,69.00,22.63
220,7,23.50,23.33
221,1,4.50,3.54
221,2,47.50,44.55
221,3,16.50,12.02
221,4,120.00,48.08
221,5,512.50,89.80
221,6,2275.00,857.01
221,7,726.00,21.21
222,1,2.00,4.47
222,2,31.57,48.51
222,3,80.57,157.43
222,4,168.00,324.00
222,5,691.43,1195.44
222,6,4068.00,8464.21
222,7,1482.57,2973.71
223,1,0.00,0.00
223,2,0.20,0.45
223,3,8.40,18.78
223,4,17.80,30.57
223,5,186.40,336.32
223,6,562.60,1064.40
223,7,19.20,29.47
224,1,0.00,0.00
224,2,0.00,0.00
224,3,9.50,11.00
224,4,33.75,31.57
224,5,394.25,539.00
224,6,1326.00,2410.96
224,7,190.00,352.80
225,1,0.00,0.00
225,2,7.75,10.97
225,3,42.75,21.05
225,4,327.00,170.56
225,5,601.00,232.11
225,6,862.75,468.74
225,7,257.00,73.92
226,1,0.40,0.55
226,2,18.20,34.59
226,3,39.40,25.70
226,4,84.40,43.50
226,5,956.40,852.60
226,6,2289.20,2012.74
226,7,676.00,1104.56
