districtid,timeid,neighbormean,neighborstdev
117,18,20.80,15.32
117,19,29.40,19.67
117,20,49.60,17.33
117,21,45.40,26.04
117,22,49.40,31.89
117,23,67.00,47.67
117,24,63.80,33.34
118,1,0.10,0.32
118,2,0.10,0.32
118,3,0.40,0.52
118,4,0.50,0.53
118,5,0.60,0.52
118,6,1.60,2.27
118,7,4.40,5.87
118,8,4.80,7.08
118,9,7.60,9.48
118,10,3.60,2.55
118,11,9.70,15.97
118,12,12.10,19.10
118,13,6.80,5.75
118,14,11.70,24.68
118,15,5.20,6.78
118,16,10.40,14.65
118,17,13.00,14.61
118,18,22.00,23.68
118,19,39.00,60.89
118,20,62.60,107.48
118,21,81.30,156.81
118,22,124.60,293.37
118,23,118.70,269.99
118,24,183.00,429.49
119,1,0.20,0.45
119,2,0.40,0.55
119,3,0.60,0.55
119,4,0.40,0.55
119,5,0.60,0.55
119,6,0.80,0.45
119,7,3.00,3.00
119,8,3.40,3.71
119,9,2.00,1.41
119,10,4.00,3.16
119,11,1.40,0.89
119,12,2.80,2.95
119,13,2.60,2.61
119,14,4.20,2.95
119,15,6.80,5.76
119,16,16.60,18.38
119,17,24.80,20.32
119,18,30.20,20.95
119,19,33.80,22.92
119,20,44.60,26.75
119,21,41.40,31.90
119,22,36.60,34.14
119,23,19.80,10.28
119,24,46.60,43.03
120,1,0.00,0.00
120,2,0.00,0.00
120,3,0.00,0.00
120,4,0.33,0.58
120,5,0.67,0.58
120,6,0.33,0.58
120,7,3.00,3.46
120,8,12.00,11.53
120,9,2.00,2.65
120,10,0.67,0.58
120,11,1.00,0.00
120,12,2.33,0.58
120,13,2.00,1.73
120,14,2.33,1.53
120,15,1.33,0.58
120,16,2.33,0.58
120,17,2.00,2.65
120,18,2.00,1.73
120,19,10.33,5.51
120,20,46.33,38.55
120,21,35.00,13.45
120,22,39.33,39.15
120,23,45.67,24.79
120,24,21.00,5.57
121,1,0.17,0.41
121,2,0.17,0.41
121,3,0.50,0.55
121,4,0.67,0.52
121,5,1.00,0.00
121,6,1.17,0.41
121,7,3.17,2.48
121,8,8.33,8.02
121,9,9.00,9.82
121,10,5.50,5.01
121,11,7.17,4.17
121,12,7.00,3.03
121,13,13.33,7.92
121,14,19.17,23.24
121,15,17.67,10.05
121,16,20.17,14.54
121,17,26.17,20.08
121,18,33.00,15.75
121,19,26.17,20.66
121,20,43.83,55.44
121,21,34.50,22.22
121,22,45.33,35.16
121,23,57.67,52.04
121,24,64.83,51.99
122,1,0.50,0.58
122,2,0.50,0.58
122,3,0.25,0.50
122,4,0.75,0.50
122,5,1.00,0.00
122,6,1.00,0.00
122,7,67.50,121.89
122,8,77.75,135.41
122,9,183.75,350.25
122,10,78.75,133.11
122,11,81.00,135.79
122,12,82.00,138.80
122,13,97.50,165.26
122,14,90.75,144.56
122,15,67.25,97.83
122,16,64.50,75.25
122,17,70.25,76.86
122,18,76.25,87.22
122,19,77.50,77.37
122,20,69.25,62.76
122,21,73.00,74.47
122,22,77.00,70.19
122,23,22.75,10.05
122,24,81.25,74.30
123,1,0.00,0.00
123,2,0.29,0.49
123,3,0.86,0.38
123,4,0.71,0.49
123,5,0.71,0.49
123,6,0.71,0.49
123,7,0.71,0.49
123,8,3.86,3.93
123,9,3.00,3.79
123,10,6.57,9.09
123,11,3.14,3.39
123,12,5.14,6.84
123,13,12.57,20.03
123,14,12.00,18.47
123,15,29.57,36.97
123,16,37.43,48.20
123,17,82.86,126.88
123,18,148.86,218.35
123,19,243.14,249.55
123,20,461.43,469.59
123,21,536.29,487.94
123,22,440.00,378.52
123,23,487.57,437.07
123,24,486.14,381.41
124,1,0.22,0.44
124,2,0.11,0.33
124,3,0.33,0.50
124,4,0.67,0.50
124,5,0.56,0.53
124,6,0.56,0.53
124,7,2.78,4.82
124,8,1.22,1.30
124,9,7.22,15.40
124,10,5.56,6.15
124,11,7.78,8.91
124,12,9.44,20.50
124,13,32.44,63.52
124,14,15.56,21.30
124,15,13.44,15.89
124,16,12.78,15.49
124,17,13.00,21.49
124,18,33.44,37.72
124,19,31.33,45.99
124,20,50.56,97.00
124,21,29.11,57.22
124,22,23.22,35.17
124,23,37.56,65.02
124,24,23.89,30.11
125,1,0.00,0.00
125,2,0.00,0.00
125,3,0.11,0.33
125,4,0.22,0.44
125,5,0.00,0.00
125,6,0.11,0.33
125,7,0.33,0.50
125,8,0.44,0.53
125,9,1.44,1.88
125,10,4.78,8.91
125,11,2.89,2.47
125,12,3.89,4.23
125,13,13.89,29.37
125,14,5.22,6.63
125,15,5.89,6.86
125,16,7.56,11.34
125,17,17.56,19.07
125,18,12.78,11.16
125,19,23.78,20.02
125,20,31.67,21.87
125,21,49.89,47.06
125,22,69.56,55.62
125,23,72.44,84.76
125,24,91.89,93.42
126,1,0.00,0.00
126,2,0.00,0.00
126,3,0.50,0.71
126,4,0.00,0.00
126,5,0.00,0.00
126,6,0.00,0.00
126,7,0.00,0.00
126,8,0.00,0.00
126,9,0.00,0.00
126,10,0.00,0.00
126,11,0.50,0.71
126,12,1.00,0.00
126,13,2.00,2.83
126,14,5.50,6.36
126,15,0.50,0.71
126,16,3.00,4.24
126,17,1.50,2.12
126,18,2.00,2.83
126,19,7.00,7.07
126,20,1.00,0.00
126,21,3.50,3.54
126,22,2.50,0.71
126,23,6.00,7.07
126,24,2.50,0.71
127,1,0.00,0.00
127,2,0.00,0.00
127,3,0.00,0.00
127,4,0.00,0.00
127,5,0.00,0.00
127,6,0.00,0.00
127,7,0.17,0.41
127,8,0.00,0.00
127,9,0.50,0.55
127,10,4.50,3.39
127,11,5.00,7.40
127,12,1.50,1.76
127,13,2.00,3.03
127,14,1.17,1.47
127,15,1.00,0.89
127,16,4.33,7.20
127,17,4.50,4.81
127,18,14.17,24.73
127,19,4.83,5.78
127,20,3.67,2.94
127,21,9.33,20.41
127,22,10.33,8.09
127,23,16.50,14.53
127,24,24.33,22.71
128,1,0.00,0.00
128,2,0.00,0.00
128,3,0.00,0.00
128,4,0.00,0.00
128,5,0.00,0.00
128,6,0.25,0.50
128,7,4.75,8.18
128,8,1.75,2.22
128,9,7.50,13.00
128,10,1.50,1.73
128,11,1.75,1.50
128,12,4.50,7.00
128,13,1.25,0.50
128,14,1.00,0.00
128,15,1.00,0.00
128,16,5.00,1.83
128,17,10.50,7.05
128,18,15.25,10.44
128,19,48.75,50.68
128,20,49.25,39.70
128,21,65.25,44.26
128,22,86.25,65.82
128,23,51.75,39.24
128,24,45.00,33.03
129,1,0.17,0.41
129,2,0.33,0.52
129,3,0.50,0.55
129,4,0.50,0.55
129,5,0.67,0.52
129,6,0.83,0.41
129,7,4.67,6.92
129,8,5.83,8.23
129,9,5.17,2.79
129,10,4.50,4.32
129,11,7.50,6.75
129,12,6.33,7.37
129,13,3.33,2.88
129,14,5.50,4.18
129,15,3.00,2.28
129,16,10.33,5.47
129,17,10.50,8.69
129,18,12.67,8.80
129,19,12.17,8.75
129,20,21.83,15.66
129,21,18.00,16.89
129,22,11.83,10.52
129,23,10.00,2.37
129,24,15.17,10.23
130,1,0.00,0.00
130,2,0.25,0.50
130,3,0.75,0.50
130,4,0.75,0.50
130,5,1.00,0.00
130,6,1.00,0.00
130,7,0.75,0.50
130,8,1.00,0.00
130,9,1.25,0.50
130,10,0.75,0.50
130,11,1.00,0.00
130,12,3.75,5.56
130,13,7.50,4.43
130,14,13.00,8.52
130,15,8.75,6.08
130,16,41.00,44.00
130,17,43.50,57.26
130,18,85.00,80.14
130,19,118.75,77.90
130,20,126.50,73.63
130,21,138.50,85.09
130,22,146.50,134.95
130,23,137.00,126.78
130,24,169.50,174.66
131,1,0.00,0.00
131,2,0.17,0.41
131,3,0.17,0.41
131,4,0.17,0.41
131,5,0.33,0.52
131,6,0.83,0.41
131,7,0.67,0.52
131,8,0.83,0.41
131,9,1.17,0.41
131,10,1.00,0.63
131,11,1.17,0.41
131,12,1.00,0.00
131,13,1.17,0.41
131,14,2.17,2.86
131,15,1.83,2.04
131,16,15.17,12.86
131,17,31.83,51.32
131,18,108.67,122.28
131,19,175.50,188.72
131,20,156.00,217.84
131,21,158.00,193.30
131,22,150.67,173.41
131,23,93.50,94.35
131,24,77.00,118.83
132,1,0.00,0.00
132,2,0.20,0.45
132,3,0.00,0.00
132,4,0.40,0.55
132,5,0.00,0.00
132,6,0.20,0.45
132,7,0.00,0.00
132,8,0.80,0.45
132,9,0.40,0.55
132,10,1.00,0.71
132,11,6.00,10.65
132,12,2.40,2.79
132,13,2.00,1.41
132,14,1.60,1.14
132,15,3.00,3.39
132,16,4.40,3.44
132,17,10.40,13.07
132,18,6.20,3.70
132,19,15.00,14.16
132,20,12.80,5.97
132,21,10.40,7.73
132,22,19.80,6.42
132,23,22.80,13.48
132,24,32.80,15.12
133,1,0.00,0.00
133,2,0.00,0.00
133,3,0.25,0.50
133,4,0.00,0.00
133,5,0.00,0.00
133,6,1.00,0.00
133,7,0.50,0.58
133,8,1.75,2.22
133,9,1.50,1.00
133,10,0.75,0.50
133,11,1.00,0.00
133,12,1.25,0.50
133,13,2.50,3.00
133,14,0.75,0.50
133,15,1.00,0.00
133,16,12.25,14.59
133,17,13.50,16.38
133,18,64.50,67.02
