timeid,method,spot,districtid
12,neighborhood,hot,758
12,neighborhood,hot,761
12,neighborhood,hot,771
12,neighborhood,cold,782
12,neighborhood,hot,784
12,neighborhood,cold,789
12,neighborhood,hot,790
12,neighborhood,hot,801
12,neighborhood,hot,804
12,neighborhood,hot,810
12,neighborhood,hot,818
12,neighborhood,cold,819
12,neighborhood,hot,822
13,neighborhood,hot,104
13,neighborhood,cold,108
13,neighborhood,hot,109
13,neighborhood,cold,111
13,neighborhood,cold,113
13,neighborhood,hot,115
13,neighborhood,hot,120
13,neighborhood,cold,121
13,neighborhood,cold,130
13,neighborhood,hot,145
13,neighborhood,hot,151
13,neighborhood,cold,153
13,neighborhood,hot,163
13,neighborhood,hot,170
13,neighborhood,hot,181
13,neighborhood,hot,184
13,neighborhood,hot,191
13,neighborhood,cold,194
13,neighborhood,hot,200
13,neighborhood,hot,218
13,neighborhood,cold,225
13,neighborhood,hot,228
13,neighborhood,hot,239
13,neighborhood,hot,244
13,neighborhood,hot,248
13,neighborhood,hot,250
13,neighborhood,hot,263
13,neighborhood,hot,268
13,neighborhood,hot,275
13,neighborhood,hot,279
13,neighborhood,hot,283
13,neighborhood,hot,289
13,neighborhood,hot,294
13,neighborhood,cold,295
13,neighborhood,hot,296
13,neighborhood,hot,299
13,neighborhood,hot,301
13,neighborhood,cold,308
13,neighborhood,cold,314
13,neighborhood,hot,315
13,neighborhood,hot,322
13,neighborhood,hot,333
13,neighborhood,hot,337
13,neighborhood,hot,342
13,neighborhood,hot,356
13,neighborhood,hot,361
13,neighborhood,hot,365
13,neighborhood,hot,366
13,neighborhood,hot,374
13,neighborhood,hot,377
13,neighborhood,hot,379
13,neighborhood,hot,397
13,neighborhood,hot,399
13,neighborhood,hot,404
13,neighborhood,cold,410
13,neighborhood,hot,416
13,neighborhood,hot,418
13,neighborhood,hot,424
13,neighborhood,hot,430
13,neighborhood,hot,432
13,neighborhood,cold,436
13,neighborhood,hot,457
13,neighborhood,hot,461
13,neighborhood,hot,463
13,neighborhood,hot,465
13,neighborhood,hot,469
13,neighborhood,hot,474
13,neighborhood,hot,476
13,neighborhood,hot,479
13,neighborhood,hot,499
13,neighborhood,hot,500
13,neighborhood,hot,501
13,neighborhood,hot,505
13,neighborhood,hot,506
13,neighborhood,hot,508
13,neighborhood,hot,509
13,neighborhood,cold,512
13,neighborhood,hot,520
13,neighborhood,hot,528
13,neighborhood,hot,531
